id,sifra,naziv,kolicina,cena_bezpdv,vrednost_bezpdv,cena_sapdv,vrednost_sapdv,subcategories,boja,my_id,brend,slka
2977,103339,M/S GS642E90X Gorenje,1,389.2562,389.26,471,471,Mašine za pranje suđa,,757,Gorenje,https://serpapi.com/searches/67fab46b3c0b4f8645883023/images/0209f31c4fe1dcedf4fd37189395180178684c575a85f9f6abbd12e53162edf0.jpeg
2985,103348,TRIMER ZA KOSU FISER FS 42,1,24.7934,24.79,30,30,Mašine za šišanje i brijanje,,758,Fisher,https://serpapi.com/searches/67fab44daf6e92da51751c5b/images/744050944bd29b7c74472d3be9436f629e9aa30e40e5606879aaa42cd537202e.jpeg
2989,103352,KRCKALICA ZA ORAHE  BR 1020 Fiser,4,2.3967,9.59,2.9,11.6,Ostalo,,759,Fisher,https://serpapi.com/searches/67fab4583a99a27bfbc75be9/images/19d72672f8575c834d39459d0d76e09ff6a90581ed0f7ace20ae5471e7315d51.jpeg
2991,103354,Zamrzivac RH1000ME hor.Tesla,1,155.3719,155.37,188,188,Zamrzivači,,760,Tesla,https://serpapi.com/searches/67fab484bd629cc9354d36ca/images/864fb53b6b2afe362fef39b69ab54809e13814a201849794022d081f1206faa3.jpeg
2999,103362,Mikser HT310138 HMX Tefal,1,39.6694,39.67,48,48,Mikser,,761,Tefal,https://serpapi.com/searches/67fab8f19967c21c19458253/images/cdf79fcc6d750fa9c9948af93f59a02104c796b6295013bcc101cb5ba3f0f08b.jpeg
3012,103375,Klima ACP-18CH50AERI+R32 Vivax,2,760.3306,1520.66,920,1840,Klime,,762,Vivax,https://serpapi.com/searches/67fab487ed05b29aafb43d15/images/798ad0e917506d1b1a15a8554c03ecff32f68ef02bf1a0576ffac10b948cf9f6.jpeg
3014,103377,Ugr.ploca EBC 411 DB Vox,3,176.03,528.09,213,638.99,Ugradne ploče,,763,Vox,https://serpapi.com/searches/67fab4c5e9f9d00b03560289/images/df82dce5fd0cf5a1dfaa8c30eff9210e4d5c355107751841f219c9a3944179fe.jpeg
3017,103380,Ugr.masina za sudje GSI 6541 Vox,1,273.5537,273.55,331,331,Ugradne mašine za suđe,,764,Vox,https://serpapi.com/searches/67fabf4d40207a26b253aaf7/images/fb22ce77b486927dbeeafb646411961fe335ee8b2589cd5444f371fec662be40.jpeg
3019,103382,UGLJENI FILTER ZA PIO 650,17,11.5702,196.69,14,238,Filteri,,765,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac40faa5f89a1adec517e/images/03079c8a8844e97e98ed4b6b555b9469507ed281dd9c3f458c20a04c34454384.jpeg
3023,103386,Keramicki pekac sa pokl.24x16 red,1,13.1405,13.14,15.9,15.9,Pekači,,766,Bez rasporeda po brendovima,https://serpapi.com/searches/67fab4ad2da0ac8ef5118534/images/418233d21b40a8a1820e04b2c52ab407455ce8b7f0b15f6d0fcc940eb4b76166.jpeg
3026,103389,UHD 43WOS684BU Vox,2,267.7686,535.54,324,648,Televizori,,767,Vox,https://serpapi.com/searches/67fabf5a0612ecf6c4640624/images/08b74dc7da60fcf0d5604b4ae0fa848991977ed7adf717d840e9ba7a5acfd26a.jpeg
3032,103395,Mlin za meso MG20001SB Gorenje,1,81.8182,81.82,99,99,Mlinovi,,768,Gorenje,https://serpapi.com/searches/67faae685ce88de470b97b43/images/204c9ccdda12878edd6681576e103aecf8ba09c5ff3e2637b62efce9752bfaee.jpeg
3035,103398,SJECKALICA TEFAL MB300138,2,30.5785,61.16,37,74,Aparati za hranu,,769,Tefal,https://serpapi.com/searches/67fab47e978d2e5bf41e5551/images/170efaa874fa08e5d92339f9dc4cad729254b6d173fc60f9281b05e183eee658.jpeg
3038,103402,NOSAC UBRUSA BR 53,1,8.2645,8.26,10,10,Ostalo,,770,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac4105edcfb57847cf860/images/938bef5582b0020fa2b641eb8fbf2a2aea1e2dfa0314890cd8577589647aec30.jpeg
3040,103404,PRAVA FI 150X500 BIJELA,0,7.36,0,8.91,0,Dimne cijevi,Bijela,368,Bez rasporeda po brendovima,https://serpapi.com/searches/67fab865ed389448a39bc36f/images/b98f14d4dc59e4fc38c1384da1d0e124092c86af94b5b9af5c0065ae0b339bf8.jpeg
3055,103421,INOX DU.SE. GRACIA 20,2,37.1901,74.38,45,90,Posuđe za pripremu hrane,,771,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac426b517e44e1cc614c5/images/db826df7afb90f7f2d83f7d926b44d91f0899fe19dd14856f8f1dc946cffca06.jpeg
3062,103428,Indukc.ploca Fiser FS 721,1,58.6777,58.68,71,71,Indukcione ploče,,772,Fisher,https://serpapi.com/searches/67fab4287ab32c351dcf581a/images/29a07ca5323c771537828adcc47964bba908513ceecc8d810185b0abea663779.jpeg
3063,103429,Masina za susenje TDM-715 TQ Vox,1,274.3802,274.38,332,332,Mašina za sušenje veša,,773,Vox,https://serpapi.com/searches/67fabf2faa5f89a1adec4e5a/images/3ede3cafa8694852720d513abd3e9541e5f8d7223f0f1b28f1d44d1fa1261219.jpeg
3075,103441,W/M WNHPI84AS Gorenje,1,389.2562,389.26,471,471,Veš mašine,,774,Gorenje,https://serpapi.com/searches/67fab46fdbb957a1c5c53e3f/images/e93b79c04970597dc0ed2ae9ad9a824d2f1ab3f046bcda736e4ccb8a3d6be2ad.jpeg
3078,103444,Ugr.ploca EBX 200 EIX,2,73.5537,147.11,89,178,Ugradne ploče,,775,Bez rasporeda po brendovima,https://serpapi.com/searches/67fab4afd77f5275be48186b/images/36978f564016bfbdd651fce9f9681175668ab25baa646bb31985482d19f1be08.jpeg
3079,103445,Ugr.ploca EBC 400 DB,4,153.719,614.88,186,744,Ugradne ploče,,776,Bez rasporeda po brendovima,https://serpapi.com/searches/67fab4b3a1600bd69b5b52b0/images/f45a419e628267ebbee9cb712d6b31ba8b59cdc306d38bf10b3e39faa2a9de11.jpeg
3089,103455,Dihtung za dimovodne cijevi fi 80,91,1.2397,112.81,1.5,136.5,Dimne cijevi,,777,Bez rasporeda po brendovima,https://serpapi.com/searches/67fab4b6ddeaef03c0b6ef3e/images/6f8f78eb0786b1307eb7176e22d619eec4374c8cd0ab04bee4f56e49b550778e.jpeg
3118,103484,Kalup za mafine BR 78,2,8.18,16.36,9.9,19.8,Stono posuđe,,778,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac41395d77b612c6cd2b8/images/c1d47d2fd424106070cc3a11340bec741ee3e576b3e701a1fdf3a0c82d347b10.jpeg
