986,101114,APARAT ZA SISANJE ROWENTA TN5040D1,0,36.281,0,43.9,0,Mašine za šišanje i brijanje,Rowenta,/images/products/986_aparat_za_sisanje_rowenta_tn5040d1.jpg,Specifikacija\\\\nBrzina motora (rpm) 3000\\\\nČešalj 4\\\\nZone Kosa\\\\nSečivo za šišanje kose\\\\nVeličina sečiva za šišanje kose 42 mm\\\\nVrsta češlja za kosu Fiksni\\\\nČešalj za kosu - precizno podešavanje 3 mm\\\\nPodesivi raspon pozicija za šišanje kose 1-14 mm\\\\nPozicije za šišanje kose 20\\\\nPRECIZNOST:\\\\nMinimalna dužina šišanja 1 mm\\\\nIndikator dužine šišanja Češalj\\\\nPrilagođavanje mikro podešavanja Poluga za podešavanje\\\\nUDOBNOST PRI UPOTREBI:\\\\nSnaga Upotreba sa kablom\\\\nČišćenje Glava jednostavna za čišćenje\\\\nPribor za čišćenje Ulje + četka\\\\nTehničke karakteristike:\\\\nBoje Crna & Srebrna\\\\nVoltaža 220-240 V\\\\nDužina priključnog kabla 1.80 m\\\\nVrsta motora AC MOTOR
936,101064,KUVALO BOSCH TWK 1102 N,0,27.1901,0,32.9,0,Čajovnici,Bosch,/images/products/936_kuvalo_bosch_twk_1102_n.jpg,fullfailed
1840,102012,DJUVECARA 30,0,14.7934,0,17.9,0,Posuđe za pripremu hrane,Bez rasporeda po brendovima,/images/products/1840_djuvecara_30.jpg,Vivax Akcija\\\\nSamsung produžena garancija\\\\nBoja\\\\nCrna\\\\nRobna marka\\\\nMetalac\\\\nOdržavanje\\\\nRučno i mašinsko pranje\\\\nMaterijal\\\\nEmajl\\\\nZapremina (lit)\\\\n2\\\\
3731,104153,TV Led Vox 43DSA311B,0,163.6364,0,198,0,Televizori,Vox,/images/products/3731_tv_led_vox_43dsa311b.jpg,Dijagonala ekrana: 43"Rezolucija ekrana: 1920 x 1080 pxDimenzije: 73.7 x 43.7 x 8.3 cmTehnologija ekrana: LEDVesa standard: 200 x 200 mm\\\\nBojaCrnaDijagonala ekrana43"DimenzijeSa postoljem: 73\\\\
989,101117,Ugr.M/S SMV4ECX26E Bosch,0,570.2479,0,690,0,Mašine za pranje suđa,Bosch,\\\\N,fullfailed
1653,101811,VENTILATOR FS 250,0,15.7,0,19,0,Ostalo,Bez rasporeda po brendovima,/images/products/1653_ventilator_fs_250.jpg,fullfailed
1222,101358,Pl.serpa 20 meth.light kakao,0,17.2727,0,20.9,0,Posuđe za pripremu hrane,Bez rasporeda po brendovima,/images/products/1222_pl_serpa_20_meth_light_kakao.jpg,Materijal izrade: Inox\\\\\\\\nZapremina: 2.7 l\\\\\\\\nDimenzija: 20 x 9.8 cm\\\\\\\\nZapremina\\\\\\\\n2.7 l\\\\\\\\nDimenzije (ŠxVxD)\\\\\\\\n20 x 9.8 cm
748,100869,Posluzavnik 40x30cm maslacak,1,10.6612,10.66,12.9,12.9,Stono posuđe,Bez rasporeda po brendovima,/images/products/748_posluzavnik_40x30cm_maslacak.jpg,failed
1028,101157,PEC DORA 8,0,238.0165,0,288,0,Peći,Bez rasporeda po brendovima,/images/products/1028_pec_dora_8.jpg,fullfailed
110,100212,MIKSER M701B,0,51.2397,0,62,0,Mikser,Bez rasporeda po brendovima,/images/products/110_mikser_m701b.jpg,VOX STAPNI MIKSER MS 6008\\\\\\\\nNastavci: Sjeckalica\\\\\\\\
1230,101367,Samos.mikrotalasna FEL023MS2 bosch,0,131.405,0,159,0,Mikrotalasne,Bosch,/images/products/1230_samos_mikrotalasna_fel023ms2_bosch.jpg,Dimenzije aparata260x442x345 mm\\\\\\\\nDimenzije aparata\\\\\\\\nZapremina20 l\\\\\\\\nZapremina\\\\\\\\nBroj automatskih programa8\\\\\\\\nBroj automatskih programa\\\\\\\\nDimenzije i težina
1474,101625,Termo posuda za hranu LT6038,0,21.4876,0,26,0,Ostalo,Bez rasporeda po brendovima,/images/products/1474_termo_posuda_za_hranu_lt6038.jpg,SPECIFIKACIJE PROIZVODA\\\\\\\\nKarakteristike\\\\\\\\nZapremina\\\\\\\\n4l\\\\\\\\nPrečnik\\\\\\\\n24cm\\\\\\\\nDubina\\\\\\\\n13cm\\\\\\\\nDimenzije\\\\\\\\nØ24cm x 13cm\\\\\\\\nMaterijal\\\\\\\\nPlastika\\\\\\\\
3484,103881,Porc.etazer ST18-HY42,0,5.2727,0,6.38,0,Stono posuđe,Bez rasporeda po brendovima,/images/products/3484_porc_etazer_st18_hy42.jpg,failed
3384,103771,CD Player FA-1154-3-RE GR MP3/USB,0,30.5785,0,37,0,Audio plejeri,Bez rasporeda po brendovima,/images/products/3384_cd_player_fa_1154_3_re_gr_mp3_usb.jpg,Specifikacija\\\\\\\\n·      Tuner AM / FM\\\\\\\\
1895,102078,Mikrot.M 19 Vox,0,347.11,0,420,0,Ostalo,Vox,/images/products/1895_mikrot_m_19_vox.jpg,failed
1570,101724,Usisivac FJ 122 Fiser,0,19.8347,0,24,0,Usisivači,Fisher,/images/products/1570_usisivac_fj_122_fiser.jpg,Naziv: Fisher FJ 122\\\\\\\\nSnaga 25 W\\\\\\\\nSa postoljem \\\\\\\\
1143,101277,Dimov.cijev fi 160/500 m,0,15.6198,0,18.9,0,Dimne cijevi,Bez rasporeda po brendovima,/images/products/1143_dimov_cijev_fi_160_500_m.jpg,failed
3500,103897,Kalup za torte fiser BR 157,0,5.7025,0,6.9,0,Posuđe za pripremu hrane,Fisher,/images/products/3500_kalup_za_torte_fiser_br_157.jpg,Neprijanjajuća površina\\\\\\\\nDimenzije: 26x26x6.8cm\\\\\\\\nKalup za torte četvrtasti FG Haus BR-158 je četvrtasti kalup za kolače i torte\\\\\\\\
21,100120,Silikonska cetka FS107 fiser,26,1.405,36.53,1.7,44.2,Stono posuđe,Fisher,/images/products/21_silikonska_cetka_fs107_fiser.jpg,LT9205 tepsija\\\\\\\\nKarakteristike - Zapremina: 2.2l Dimenzije: 33cm x 23cm x 7cm Boja: Crveno-bela Broj komada u setu:\\\\\\\\nPOGLEDAJ VIŠE
23,100122,Silikonska spatula FS 108 Fiser,16,1.405,22.48,1.7,27.2,Stono posuđe,Fisher,/images/products/23_silikonska_spatula_fs_108_fiser.jpg,failed
1277,101414,LED TV 32M325BH Tesla,0,105.7851,0,128,0,Televizori,Tesla,/images/products/1277_led_tv_32m325bh_tesla.jpg,Oprema za laptope\\\\\\\\nAdapteri za ugradnju diskova\\\\\\\\nBaterije\\\\\\\\nDocking stanica\\\\\\\\nHladnjaci i stalci\\\\\\\\nMemorije\\\\\\\\nNavlake za laptope\\\\\\\\nPunjači\\\\\\\\nRuksaci za laptope\\\\\\\\nTorbe za laptope\\\\\\\\nUSB hub
3602,104009,KL.CINIJA18 GOL.FLOWERS,0,4.4628,0,5.4,0,Stono posuđe,Bez rasporeda po brendovima,/images/products/3602_kl_cinija18_gol_flowers.jpg,failed
33,100132,Dezertni set  BR 84 7/1 fiser,4,19.0083,76.03,23,92,Stono posuđe,Fisher,/images/products/33_dezertni_set__br_84_7_1_fiser.jpg,failed
3435,103824,Du.Se.Princ18 sa pokl.kuvarica,0,14.876,0,18,0,Posuđe za pripremu hrane,Bez rasporeda po brendovima,/images/products/3435_du_se_princ18_sa_pokl_kuvarica.jpg,Materijal izrade: Emajl\\\\nZapremina: 3 l\\\\nDimenzija: 18 x 12 cm\\\\nTip\\\\nSerpa\\\\nProizvođač\\\\nMETALAC\\\\nMaterijal izrade\\\\nEmajl\\\\nZapremina\\\\n3 l\\\\nBoja\\\\nBijela/Crvena\\\\nDimenzije (ŠxVxD)\\\\n18 x 12 cm\\\\nPrikaži više
1226,101362,Tava met.light 26 kakao,0,25.6198,0,31,0,Ostalo,Bez rasporeda po brendovima,/images/products/1226_tava_met_light_26_kakao.jpg,fullfailed
1377,101527,DIG.KAMERA SONY DCRHC27E,0,126.4463,0,153,0,Ostalo,Sony,/images/products/1377_dig_kamera_sony_dcrhc27e.jpg,fullfailed
1529,101680,M.T.MO 17 ME Gorenje,0,61.157,0,74,0,Ostalo,Gorenje,/images/products/1529_m_t_mo_17_me_gorenje.jpg,fullfailed
1610,101766,OBLOGE ZELENE,0,192.562,0,233,0,Ostalo,Bez rasporeda po brendovima,/images/products/1610_obloge_zelene.jpg,fullfailed
35,100134,Du.serpa stand.22 sa pokl.tackice,0,15.6198,0,18.9,0,Posuđe za pripremu hrane,Bez rasporeda po brendovima,/images/products/35_du_serpa_stand_22_sa_pokl_tackice.jpg,Vivax Akcija\\\\nSamsung produžena garancija\\\\nBoja\\\\nCrna\\\\nOdržavanje\\\\nRučno i mašinsko pranje\\\\nPoklopac\\\\nSa poklopcem\\\\nMaterijal\\\\nEmajl na čeličnom limu\\\\nZapremina (lit)\\\\n5\\\\nPrečnik\\\\n22\\\\nVisina (mm)\\\\n140
1806,101976,TESLA AIR 6 MAX,0,142.8099,0,172.8,0,Ostalo,Tesla,/images/products/1806_tesla_air_6_max.jpg,fullfailed
1210,101346,Samsung UE85AU7172UXXH LED TV,0,318.18,0,385,0,Televizori,Samsung,/images/products/1210_samsung_ue85au7172uxxh_led_tv.jpg,fullfailed
3455,103845,DELL Inspiron15(3552)15.6 Intel  N3060 crni,0,292.562,0,354,0,Laptop računari,Dell,/images/products/3455_dell_inspiron15_3552_15_6_intel__n3060_crni.jpg,Dell Latitude E5510 - Intel Core i5-10210U 1.6Ghz\\\\
1687,101845,Usisivac SL 3818 Vox,0,43.8017,0,53,0,Usisivači,Vox,/images/products/1687_usisivac_sl_3818_vox.jpg,USISIVAČ SL123R VOX\\\\nUSISIVAČ SL3814 VOX\\\\nUSISIVAČ SL3818 VOX129\\\\
1252,101389,VISENAM.POSUDA 14 SA POKL ROZA,0,12.3967,0,15,0,Ostalo,Bez rasporeda po brendovima,/images/products/1252_visenam_posuda_14_sa_pokl_roza.jpg,nema
3397,103784,LCD Samsung UE 55M5582,0,760.3306,0,920,0,Televizori,Samsung,/images/products/3397_lcd_samsung_ue_55m5582.jpg,fullfailed
1534,101685,W/M WHP72ES Gorenje,0,261.9835,0,317,0,Veš mašine,Gorenje,/images/products/1534_w_m_whp72es_gorenje.jpg,Broj programa pranja: 15\\\\nBrzina centrifuge: 1200 o/min\\\\nKapacitet pranja: 7 kg\\\\nBroj programa pranja\\\\n15 programa\\\\nBrzina centrifuge\\\\n1200\\\\t/\\\\t1200\\\\t/\\\\t1200\\\\nKapacitet pranja\\\\n7 kg\\\\nKlasa pranja\\\\nE\\\\nDimenzije (ŠxVxD)\\\\n59\\\\
1528,101679,VAGA TJELESNA PW 422-05,0,13.2231,0,16,0,Vage,Bez rasporeda po brendovima,/images/products/1528_vaga_tjelesna_pw_422_05.jpg,Garancija\\\\n5. Maksimalni kapacitet: 180kg / 396lb\\\\n7. Dimenzije: 300 x 300 x 23.5mm\\\\n15. Garancija u trajanju od jedne (1) godine.
1540,101691,MOB.TEL SAMSUNG A035 3/3 CRNI,0,136.3636,0,165,0,Mobilni telefoni,Samsung,/images/products/1540_mob_tel_samsung_a035_3_3_crni.jpg,fullfailed
4,100103,Mikser HT450B38 Tefal,2,39.6694,79.34,48,96,Mikser,Tefal,/images/products/4_mikser_ht450b38_tefal.jpg,fullfailed
3566,103972,Toster FA-5366-CH,0,10.7438,0,13,0,Pekači,Bez rasporeda po brendovima,/images/products/3566_toster_fa_5366_ch.jpg,Snaga: 750W\\\\nKućište od nerđajućeg čelika\\\\nTip\\\\nToster\\\\nProizvođač\\\\nFIRST\\\\nModel\\\\nFA-5366-CH\\\\nSnaga\\\\n750W\\\\nFunkcije\\\\nFunkcija prekida\\\\nKontrola grijanja\\\\nBoja\\\\nCrna/Inox\\\\nPrikaži više
1598,101754,FEN VOX HT 2800 V,0,19.8347,0,24,0,Fenovi,Vox,/images/products/1598_fen_vox_ht_2800_v.jpg,Vorner Fen za kosu VHD-0400\\\\
75,100175,Porc.set za kolace 6/1-2884/2877,0,8.6777,0,10.5,0,Stono posuđe,Bez rasporeda po brendovima,/images/products/75_porc_set_za_kolace_6_1_2884_2877.jpg,failed
764,100886,Set solja BR 3003 Fiser,2,17.3554,34.71,21,42,Stono posuđe,Fisher,/images/products/764_set_solja_br_3003_fiser.jpg,failed
786,100910,Escajg BR 292 Fiser,2,29.7521,59.5,36,72,Stono posuđe,Fisher,/images/products/786_escajg_br_292_fiser.jpg,failed
1993,102196,PEGLA ROWENTA DW5125D1,0,66.1157,0,80,0,Pegle,Rowenta,/images/products/1993_pegla_rowenta_dw5125d1.jpg,Snaga: 2400 WKapacitet: 300 mlVarijabilna para: 0-40g/minUdar pare: 150 g/min\\\\\\\\nMore Information\\\\\\\\nImport Specifikacija\\\\\\\\nBojaLjubičasto-crnaKapacitet300 mlModelRowenta DW5125D1OstaloVertikalna para Samočišćenje Sprej sa prednje strane Varijabilna para: 0 - 40 g/min Udar pare: 150 g/minPodlogaMikrosteam 400 3D laserSnaga2400 WTipStandardna pegla na paruZaštita protiv kamencaDaUvoznikGROUPE SEB SLOVENSKO\\\\\\\\
2059,102285,SREDSTVO ZA CISCENJE STAKOKERAMIKE,0,10.6612,0,12.9,0,Ostalo,Bez rasporeda po brendovima,/images/products/2059_sredstvo_za_ciscenje_stakokeramike.jpg,Tip: Sredstvo za čišćenje staklokeramičkih površinaZapremina: 300 ml\\\\\\\\nMore Information\\\\\\\\nImport Specifikacija\\\\\\\\nModelUNILIFE GC00171OstaloZapremina: 300 mlTipSredstvo za čišćenje staklokeramičkih površinaUvoznikROAMING ELECTRONICS DOO BEOGRADZemlja poreklaKina
3560,103962,Pec na pelet KYRA  bijela,0,752.0661,0,910,0,Peći na pelet,Bez rasporeda po brendovima,/images/products/3560_pec_na_pelet_kyra__bijela.jpg,Standardi: EN 14785\\\\\\\\
122,100224,FILTER 0409,2,1.6529,3.31,2,4,Filteri,Bez rasporeda po brendovima,/images/products/122_filter_0409.jpg,failed
225,100336,Du.ser.stan.20 sa st.pokl.linije,0,13.9669,0,16.9,0,Ostalo,Bez rasporeda po brendovima,/images/products/225_du_ser_stan_20_sa_st_pokl_linije.jpg,failed
1428,101578,Komb.frizider HC 328 F Bira,0,194.2149,0,235,0,Frižideri,Bez rasporeda po brendovima,/images/products/1428_komb_frizider_hc_328_f_bira.jpg,Tip: Kombinovani frižider\\\\\\\\
